artist_name,playlist,active,ignore,category,priority
Spectacular Diagnostics,räps,,,,
Speedy Ortiz,Album added to library,,,,2
Spice Mouse,,,,,2
SPIRIT OF THE BEEHIVE,Album added to library,,,,1
splifferation,räps,,,,
Spoon,,,,,
Sports Team,Album added to library,,,,2
Sprain,post punkish,FALSE,TRUE,,2
Squid,Album added to library,,,,2
Ssktchwn,nikumuss,,,,
ssshhhiiittt!,Album added to library,,,,2
St. Germain,,,,,
Stephane Laporte,tasasem teknohõng,,,DJ,
Stereo Total,post punkish,FALSE,TRUE,,2
Stereolab,Album added to library,,,,2
Stetsasonic,räps,FALSE,TRUE,,
Steve Miller Band,,,,,
Steve Reich,,,,,
Still House Plants,Album added to library,,,,2
Stillbirth,metall,,,,
Stoned Jesus,,,,,
Straw Man Army,Album added to library,,,,2
Stress Eater,,,,,
"Stress Eater, Czarface & Kool Keith",räps,,TRUE,,
Stuck,post punkish,,,,2
Submerged,electro,,TRUE,DJ,
Subtle,räps,FALSE,TRUE,,
Suicidal Tendencies,,,,,
SULK,post punkish,,,,2
Sunbeam Sound Machine,,,,,
Sunflower Bean,Album added to library,,,,2
Supastition,räps,,,,
Supertramp,Album added to library,FALSE,TRUE,,2
Supreme Beings Of Leisure,,,,,
Suuns,Album added to library,,,,2
Sven Wunder,Liked song,,,,2
Swans,Album added to library,,,,2
Sweaty Palms,post punkish,,,,2
Sweeping Promises,post punkish,,,,2
Sweet Smoke,Album added to library,FALSE,TRUE,,2
Talking Heads,Album added to library,FALSE,TRUE,,2
Tame Impala,new rock,,,,
Tawk,,,,,
Tawk Love,,,,,
Teebee,electro,,TRUE,DJ,
Teleman,Album added to library,,,,2
Temples,Liked song,,TRUE,,2
Tenacious D,Album added to library,,,,2
Tennis,Pehmemad indiaanlased,,,,
Tera Melos,Liked song,,,,2
Tess Parks,,,,,
Th Da Freak,post punkish,,,,2
The Art Of Noise,Album added to library,,,,2
The Beatles,Album added to library,FALSE,TRUE,,2
The Black Angels,,,,,
The Black Dog,tasasem teknohõng,,,DJ,
The Black Keys,Liked song,,,,2
The Breeders,Album added to library,,,,2
